config_storage_size,config_block_size,config_blocks_per_bucket,config_use_recursive,config_num_operations,config_read_write_ratio,total_time,avg_read_time,avg_write_time,throughput,client_size,stash_overflow_count,bytes_sent_by_client,bytes_sent_by_server,bytes_read,bytes_written
127,32,2,True,1000,0.1,0.21588484499807237,0.0002165371628823619,0.00021473038109053502,4632.099117512992,19104,0,1621917,2211190,2944,29056
127,32,2,False,1000,0.1,0.21034061400132487,0.00021059314127816597,0.00020942557815469787,4754.193595696651,12304,0,1621794,2211178,2944,29056
127,32,2,True,1000,0.5,0.21200385699921753,0.00021131585471736007,0.00021114936906463025,4716.895315747443,18648,0,1621917,2211190,15872,16128
127,32,2,False,1000,0.5,0.1923437900004501,0.0001913575483814061,0.00019194360125795125,5199.024101571774,12096,0,1621794,2211178,15872,16128
127,32,2,True,1000,0.9,0.19512059399858117,0.00019449305430506547,0.00019494512506904962,5125.035648503978,18320,0,1621917,2211190,28928,3072
127,32,2,False,1000,0.9,0.195304684999428,0.00019455197902206502,0.00019477087505492818,5120.2048737485675,12016,0,1621794,2211178,28928,3072
127,32,4,True,1000,0.1,0.3587922280021303,0.0003587612172455208,0.00035795664654373233,2787.128376688423,18056,0,3215495,4420110,2944,29056
127,32,4,False,1000,0.1,0.35827024699756294,0.0003680582502689187,0.00035639827863649426,2791.1890769059655,12056,0,3215372,4420098,2944,29056
127,32,4,True,1000,0.5,0.36340054699758184,0.000362378632952377,0.0003628568690132058,2751.7845205848143,18016,0,3215495,4420110,15872,16128
127,32,4,False,1000,0.5,0.3593747179984348,0.0003576739616384598,0.00035965764485780034,2782.6108791669517,12016,0,3215372,4420098,15872,16128
127,32,4,True,1000,0.9,0.35910666799827595,0.00035858219914100715,0.000357889374830241,2784.6879189801093,17912,0,3215495,4420110,28928,3072
127,32,4,False,1000,0.9,0.3569325440003013,0.00035642071031111904,0.0003556468643637345,2801.6498265822347,12000,0,3215372,4420098,28928,3072
127,32,6,True,1000,0.1,0.5252526459989895,0.0005345533039792866,0.000523496982340864,1903.8457161849765,17904,0,4809073,6629030,2944,29056
127,32,6,False,1000,0.1,0.5314454179970198,0.0005315815654324505,0.0005304493656594666,1881.660780459693,12032,0,4808950,6629018,2944,29056
127,32,6,True,1000,0.5,0.5317468570028723,0.0005292538386980127,0.0005327724841677876,1880.5940962893146,17896,0,4809073,6629030,15872,16128
127,32,6,False,1000,0.5,0.5255265660016448,0.0005248470986829957,0.0005247516765372157,1902.8533754407197,11904,0,4808950,6629018,15872,16128
127,32,6,True,1000,0.9,0.5329132299993944,0.0005316455420110834,0.0005386746456679248,1876.4780900656874,17888,0,4809073,6629030,28928,3072
127,32,6,False,1000,0.9,0.5256542749993969,0.0005238114766875978,0.0005369338437427965,1902.3910725374533,12032,0,4808950,6629018,28928,3072
127,32,8,True,1000,0.1,0.710181376998662,0.0007148821303259035,0.0007085960792110079,1408.0909925097683,17880,0,6402651,8837950,2944,29056
127,32,8,False,1000,0.1,0.6997664059999806,0.0006961294565490275,0.0006992287477813015,1429.0483101585583,12032,0,6402528,8837938,2944,29056
127,32,8,True,1000,0.5,0.692424510998535,0.0006942081251010325,0.000689307363057788,1444.200752740418,17872,0,6402651,8837950,15872,16128
127,32,8,False,1000,0.5,0.6958134170017729,0.0006948645322770444,0.0006951822777496307,1437.1668834857378,12032,0,6402528,8837938,15872,16128
127,32,8,True,1000,0.9,0.6947529740027676,0.0006944144911398551,0.000692020458548844,1439.3605172189107,17864,0,6402651,8837950,28928,3072
127,32,8,False,1000,0.9,0.6949719139993249,0.0006945497853703917,0.0006927763123106464,1438.9070692732648,12032,0,6402528,8837938,28928,3072
127,64,2,True,1000,0.1,0.1922034960007295,0.00019020518873662267,0.00019159650448183645,5202.818995530677,19928,0,2126772,3220978,6784,57216
127,64,2,False,1000,0.1,0.18915792000188958,0.00018895738678523076,0.0001883219866517588,5286.588052934873,16128,0,2126690,3220970,6784,57216
127,64,2,True,1000,0.5,0.19075787300243974,0.00019002959371240043,0.00019012466918866266,5242.247589892189,19920,0,2126772,3220978,30720,33280
127,64,2,False,1000,0.5,0.18996147099824157,0.00018913190619211187,0.00018943583649720845,5264.2253965766395,16128,0,2126690,3220970,30720,33280
127,64,2,True,1000,0.9,0.19536039100057678,0.00019494258006387907,0.00019295089019578883,5118.74487391381,19784,0,2126772,3220978,57600,6400
127,64,2,False,1000,0.9,0.1916879849995894,0.0001911792745563111,0.00019050047998462105,5216.811058878531,16408,0,2126690,3220970,57600,6400
127,64,4,True,1000,0.1,0.35888320300000487,0.0003574126415017263,0.00035815850334589407,2786.4218543546226,19936,0,4225246,6439690,6784,57216
127,64,4,False,1000,0.1,0.355995427002199,0.00035777258494388935,0.0003549051700401853,2809.0248473720508,16128,0,4225164,6439682,6784,57216
127,64,4,True,1000,0.5,0.363417271997605,0.0003615830812350396,0.0003637252731935475,2751.657879393774,19928,0,4225246,6439690,30720,33280
127,64,4,False,1000,0.5,0.3698684629998752,0.00036953492499378624,0.0003685807057991042,2703.663869823736,16128,0,4225164,6439682,30720,33280
127,64,4,True,1000,0.9,0.3676939990000392,0.00036675086006855256,0.0003689493201454752,2719.6527621324967,19920,0,4225246,6439690,57600,6400
127,64,4,False,1000,0.9,0.3623619680001866,0.0003601661155335023,0.0003756145398074295,2759.6715116622972,16000,0,4225164,6439682,57600,6400
127,64,6,True,1000,0.1,0.5276545320011792,0.0005261930565674842,0.0005269324239748384,1895.1794012029168,19912,0,6323720,9658402,6784,57216
